query,config,rouge_l_precision,rouge_l_recall,rouge_l_f1,faithfulness,latency_ms,guardrail_triggered,confidence_score
. what is a corporation?,Query Decomposition,0.2727272727272727,0.13636363636363635,0.1818181818181818,0.375,3029.061794281006,False,0.49964118003845215
why did rachel carson write an obligation to endure,Query Decomposition,0.25,0.16666666666666666,0.2,0.0,2317.6841735839844,False,0.34991955757141113
why did the progressive movement fail to advance racial equality quizlet,Query Decomposition,0.0,0.0,0.0,0.3157894736842105,2263.603925704956,False,0.46875786781311035
why do police need to understand what the forensic scientists do,Query Decomposition,0.0,0.0,0.0,0.5428571428571428,3071.119785308838,False,0.5836120247840881
do owls eat in the day,Query Decomposition,0.029411764705882353,0.3333333333333333,0.05405405405405406,0.375,2251.108169555664,False,0.5199401378631592
symptoms of a dying mouse,Query Decomposition,0.2727272727272727,0.4090909090909091,0.32727272727272727,0.5,2466.431140899658,False,0.43234437704086304
average number of lightning strikes per day,Query Decomposition,0.21052631578947367,0.5,0.2962962962962963,0.35714285714285715,2574.4481086730957,False,0.40584856271743774
can you burn your lawn with fertilizer,Query Decomposition,0.12121212121212122,0.6666666666666666,0.20512820512820512,0.5,1861.0341548919678,False,0.6189787983894348
are volvox autotrophic or heterotrophic,Query Decomposition,0.0,0.0,0.0,0.625,1422.5146770477295,False,0.6577484607696533
average force of a raindrop,Query Decomposition,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.1,2719.524383544922,False,0.41567009687423706
chart for foods low in potassium.,Query Decomposition,0.0,0.0,0.0,0.2,1760.0805759429932,False,0.5019866228103638
are saltwater crocodiles legal pets yahoo,Query Decomposition,0.0625,0.3333333333333333,0.10526315789473684,0.36363636363636365,2520.3328132629395,False,0.3756374716758728
dayton ohio time is what,Query Decomposition,0.0,0.0,0.0,0.1,3004.6446323394775,False,0.39984428882598877
goch meaning,Query Decomposition,0.23529411764705882,0.5,0.31999999999999995,0.25,1975.89111328125,False,0.3816474676132202
does drinking water help eczema,Query Decomposition,0.07692307692307693,0.3333333333333333,0.125,0.36363636363636365,2227.4069786071777,False,0.493705153465271
how much money has innocet donated to charity,Query Decomposition,0.047619047619047616,0.3333333333333333,0.08333333333333333,0.1875,2215.320587158203,False,0.32936662435531616
symptoms of a gastric ulcer in women,Query Decomposition,0.4666666666666667,0.5833333333333334,0.5185185185185186,0.36363636363636365,1962.2690677642822,False,0.6276443004608154
how often can ativan be taken,Query Decomposition,0.06666666666666667,0.041666666666666664,0.05128205128205127,0.08333333333333333,1625.098466873169,False,0.37960511445999146
how many oscars did star wars a new home win?,Query Decomposition,0.0,0.0,0.0,0.1,2129.6377182006836,False,0.3429408073425293
how many years did william bradford serve as governor of plymouth colony?,Query Decomposition,0.4,0.8,0.5333333333333333,0.35294117647058826,1845.2818393707275,False,0.3120776414871216
